designation,l,b,dl,db,ra,dec,dra,ddec
SSTGLMA G065.3822+00.5496,65.382257,0.549692,0.3,0.3,298.492143,28.809051,0.3,0.3
SSTGLMA G065.3838+00.6650,65.383817,0.665011,0.3,0.3,298.380193,28.869747,0.3,0.3
SSTGLMA G065.3865-00.5745,65.386544,-0.574528,0.3,0.3,299.588298,28.22917,0.3,0.3
SSTGLMA G065.3887+00.5272,65.388793,0.527275,0.3,0.3,298.517912,28.803102,0.3,0.3
SSTGLMA G065.3983+00.7589,65.398387,0.758911,0.3,0.3,298.296745,28.930511,0.3,0.3
SSTGLMA G065.4021+00.1550,65.402106,0.155064,0.3,0.3,298.889118,28.622194,0.3,0.3
SSTGLMA G065.4081-01.0752,65.408144,-1.075289,0.3,0.3,300.084435,27.984811,0.3,0.3
SSTGLMA G065.4111+01.3338,65.411158,1.333861,0.3,0.3,297.738973,29.235682,0.3,0.3
SSTGLMA G065.4274+00.3569,65.427472,0.356944,0.3,0.3,298.707141,28.748342,0.3,0.3
SSTGLMA G065.4294+01.0902,65.429443,1.090239,0.3,0.3,297.98959,29.127014,0.3,0.3
SSTGLMA G065.4304+00.0052,65.430459,0.005208,0.3,0.3,299.051796,28.568726,0.3,0.3
SSTGLMA G065.4395+00.7950,65.439505,0.795061,0.3,0.3,298.285434,28.984356,0.3,0.3
SSTGLMA G065.4469+00.5394,65.446976,0.539444,0.3,0.3,298.540238,28.859232,0.3,0.3
SSTGLMA G065.4484+00.5368,65.448396,0.536836,0.3,0.3,298.543625,28.859104,0.3,0.3
SSTGLMA G065.4524+01.4225,65.452436,1.422553,0.3,0.3,297.675576,29.316373,0.3,0.3
SSTGLMA G065.4529+01.8102,65.45294,1.810269,0.3,0.3,297.292421,29.513675,0.3,0.3
SSTGLMA G065.4531+01.0800,65.453158,1.080072,0.3,0.3,298.013478,29.142186,0.3,0.3
SSTGLMA G065.4537-00.9440,65.453754,-0.944072,0.3,0.3,299.985186,28.092624,0.3,0.3
SSTGLMA G065.4545+01.5871,65.454573,1.587136,0.3,0.3,297.514232,29.401916,0.3,0.3
SSTGLMA G065.4561-00.2790,65.456166,-0.279033,0.3,0.3,299.34326,28.442822,0.3,0.3
SSTGLMA G065.4624+00.5437,65.462413,0.543786,0.3,0.3,298.545075,28.874697,0.3,0.3
SSTGLMA G065.4639-00.9652,65.463985,-0.965278,0.3,0.3,300.01173,28.090175,0.3,0.3
SSTGLMA G065.4640+00.5383,65.464055,0.538367,0.3,0.3,298.551345,28.87331,0.3,0.3
SSTGLMA G065.4641+01.5829,65.464102,1.582936,0.3,0.3,297.523939,29.407987,0.3,0.3
SSTGLMA G065.4657+00.2354,65.465696,0.235406,0.3,0.3,298.848314,28.718198,0.3,0.3
SSTGLMA G065.4762-00.0648,65.476234,-0.064878,0.3,0.3,299.147063,28.571431,0.3,0.3
SSTGLMA G065.4862-00.2818,65.486233,-0.281828,0.3,0.3,299.3638,28.467023,0.3,0.3
SSTGLMA G065.4913+00.4435,65.491342,0.443564,0.3,0.3,298.660146,28.847771,0.3,0.3
SSTGLMA G065.4962+00.2140,65.496288,0.214036,0.3,0.3,298.887226,28.733303,0.3,0.3
SSTGLMA G065.4980-00.4299,65.498067,-0.429906,0.3,0.3,299.514461,28.399835,0.3,0.3
SSTGLMA G065.4984-00.6402,65.498446,-0.640208,0.3,0.3,299.718329,28.290136,0.3,0.3
SSTGLMA G065.4987+01.4764,65.498763,1.476442,0.3,0.3,297.64941,29.383668,0.3,0.3
SSTGLMA G065.5042-00.1166,65.504294,-0.116622,0.3,0.3,299.214003,28.568487,0.3,0.3
SSTGLMA G065.5061+00.7354,65.506156,0.735431,0.3,0.3,298.38308,29.010875,0.3,0.3
SSTGLMA G065.5084+00.5646,65.508495,0.564658,0.3,0.3,298.551782,28.924942,0.3,0.3
SSTGLMA G065.5140+01.7597,65.514007,1.759758,0.3,0.3,297.37801,29.540707,0.3,0.3
SSTGLMA G065.5163+01.2810,65.516351,1.281061,0.3,0.3,297.852524,29.299208,0.3,0.3
SSTGLMA G065.5256+01.1540,65.525689,1.154006,0.3,0.3,297.983198,29.242317,0.3,0.3
SSTGLMA G065.5316+01.2721,65.531663,1.272097,0.3,0.3,297.870325,29.307795,0.3,0.3
SSTGLMA G065.5333-00.9855,65.533391,-0.985553,0.3,0.3,300.072676,28.13852,0.3,0.3
SSTGLMA G065.5347+01.5141,65.534698,1.514114,0.3,0.3,297.633169,29.433763,0.3,0.3
SSTGLMA G065.5365+01.0936,65.536546,1.093622,0.3,0.3,298.049015,29.220748,0.3,0.3
SSTGLMA G065.5399+00.3264,65.539956,0.326447,0.3,0.3,298.803284,28.828855,0.3,0.3
SSTGLMA G065.5447-00.2191,65.544773,-0.219194,0.3,0.3,299.3377,28.54963,0.3,0.3
SSTGLMA G065.5488+01.2930,65.548882,1.293061,0.3,0.3,297.85973,29.3333,0.3,0.3
SSTGLMA G065.5493+01.9814,65.549366,1.981475,0.3,0.3,297.178649,29.683419,0.3,0.3
SSTGLMA G065.5544+00.0731,65.554492,0.073111,0.3,0.3,299.059043,28.709987,0.3,0.3
SSTGLMA G065.5550+00.6330,65.555051,0.633022,0.3,0.3,298.512247,29.000071,0.3,0.3
SSTGLMA G065.5587+00.2705,65.558742,0.270572,0.3,0.3,298.868951,28.816008,0.3,0.3
SSTGLMA G065.5678-00.5083,65.567867,-0.508314,0.3,0.3,299.63194,28.418335,0.3,0.3
SSTGLMA G065.5693-00.0697,65.569361,-0.069767,0.3,0.3,299.206986,28.648432,0.3,0.3
SSTGLMA G065.5695+01.6651,65.569568,1.665111,0.3,0.3,297.504144,29.540539,0.3,0.3
SSTGLMA G065.5711+00.8619,65.5711,0.861961,0.3,0.3,298.29709,29.131615,0.3,0.3
SSTGLMA G065.5787+01.4207,65.578735,1.4207,0.3,0.3,297.751213,29.424077,0.3,0.3
SSTGLMA G065.5851+02.0993,65.585138,2.099347,0.3,0.3,297.082291,29.773808,0.3,0.3
SSTGLMA G065.5868+00.6997,65.586831,0.699717,0.3,0.3,298.465586,29.061663,0.3,0.3
SSTGLMA G065.5895+00.0367,65.589569,0.036697,0.3,0.3,299.115298,28.721048,0.3,0.3
SSTGLMA G065.5978+01.5089,65.597842,1.5089,0.3,0.3,297.675222,29.485443,0.3,0.3
SSTGLMA G065.6005-00.4423,65.600559,-0.442356,0.3,0.3,299.587456,28.4807,0.3,0.3
SSTGLMA G065.6082-00.4940,65.608276,-0.494094,0.3,0.3,299.642208,28.460209,0.3,0.3
